work_year,experience_level,salary_in_usd,remote_ratio,company_size,FL,FT,PT
2024,3,284000,0,2,0,1,0
2025,3,166000,100,2,0,1,0
2025,2,200000,0,2,0,1,0
2025,2,70629,100,2,0,1,0
2024,2,124800,0,2,0,1,0
2024,3,284000,0,2,0,1,0
2024,3,39413,0,2,0,1,0
2024,3,145537,0,2,0,1,0
2024,3,156312,0,3,0,1,0
2025,3,111870,100,2,0,1,0
2025,2,54000,100,2,0,1,0
2024,1,90000,0,2,0,1,0
2022,3,135000,100,2,0,1,0
2025,3,200000,0,2,0,1,0
2025,1,44000,0,2,0,1,0
2025,3,139800,0,2,0,1,0
2024,1,44850,0,2,0,1,0
2025,3,85000,0,2,0,1,0
2025,3,84836,0,2,0,1,0
2024,3,170000,0,2,0,1,0
2023,3,116500,100,2,0,1,0
2025,1,95000,0,2,0,1,0
2024,2,145000,0,2,0,1,0
2024,2,112300,0,2,0,1,0
2025,2,105400,100,2,0,1,0
2024,2,92307,0,2,0,1,0
2025,3,103000,0,2,0,1,0
2024,2,150000,100,2,0,1,0
2025,3,161000,0,2,0,1,0
2024,2,39205,0,2,0,1,0
2025,3,86200,0,2,0,1,0
2024,3,200500,0,2,0,1,0
2023,3,150000,100,2,0,1,0
2024,3,150400,0,3,0,1,0
2025,1,145100,100,2,0,1,0
2024,3,160000,100,2,0,1,0
2024,1,110000,0,2,0,1,0
2025,2,31578,0,2,0,1,0
2025,2,58844,0,2,0,1,0
2025,3,245000,0,2,0,1,0
2024,3,176355,0,2,0,1,0
2024,3,110000,100,2,0,1,0
2024,3,91520,0,2,0,1,0
2025,2,86400,0,2,0,1,0
2025,3,325000,0,2,0,1,0
2025,3,50526,0,2,0,1,0
2023,4,200000,0,2,0,1,0
2025,2,75789,0,2,0,1,0
2025,2,108000,0,2,0,1,0
2023,4,200000,0,2,0,1,0
2024,1,355000,0,2,0,1,0
2023,2,55368,0,2,0,1,0
2025,4,448990,0,2,0,1,0
2025,2,180000,0,2,0,1,0
2025,2,100000,0,2,0,1,0
2025,3,210000,100,2,0,1,0
2022,3,210000,100,2,0,1,0
2025,3,110530,0,2,0,1,0
2025,2,75000,0,2,0,1,0
2025,2,185000,100,2,0,1,0
2025,3,270000,100,2,0,1,0
2024,3,269075,0,2,0,1,0
2024,3,175100,100,2,0,1,0
2024,2,251000,0,2,0,1,0
2025,2,99875,100,2,0,1,0
2024,3,135000,0,2,0,1,0
2023,3,120000,0,2,0,1,0
2025,3,114000,0,2,0,1,0
2024,2,325000,0,2,0,1,0
2024,3,228188,0,2,0,1,0
2024,3,62222,0,2,0,1,0
2025,3,130000,100,2,0,1,0
2025,2,139400,0,2,0,1,0
2025,3,110000,0,2,0,1,0
2025,3,200000,100,2,0,1,0
2025,4,113900,100,2,0,1,0
2024,3,207000,0,2,0,1,0
2025,2,134814,0,3,0,1,0
2025,2,85000,100,2,0,1,0
2025,2,41197,0,2,0,1,0
2024,2,155900,0,2,0,1,0
2023,3,90000,0,2,0,1,0
2024,3,137600,0,2,0,1,0
2025,2,120000,100,2,0,1,0
2025,3,152889,0,2,0,1,0
2025,3,114000,0,2,0,1,0
2025,3,117000,0,2,0,1,0
2024,2,122000,0,2,0,1,0
2024,3,168000,0,2,0,1,0
2025,3,173000,0,2,0,1,0
2025,4,396890,0,2,0,1,0
2023,2,151410,0,2,0,1,0
2025,3,100000,0,2,0,1,0
2024,2,167000,0,2,0,1,0
2025,2,130000,0,2,0,1,0
2024,3,179982,0,2,0,1,0
2025,3,180000,0,2,0,1,0
2024,3,215000,0,2,0,1,0
2024,2,140000,100,2,0,1,0
2024,2,102000,0,2,0,1,0
2025,3,75949,0,2,0,1,0
2024,3,212160,0,2,0,1,0
2022,3,250000,0,2,0,1,0
2024,3,77777,100,2,0,1,0
2025,3,250000,0,2,0,1,0
2024,3,208000,0,2,0,1,0
2025,2,161600,0,2,0,1,0
2024,2,125000,0,2,0,1,0
2024,3,180000,0,2,0,1,0
2025,3,164000,0,2,0,1,0
2024,3,250200,0,2,0,1,0
2024,3,200000,0,2,0,1,0
2025,2,190000,0,2,0,1,0
2024,3,264200,0,2,0,1,0
2025,2,158900,0,2,0,1,0
2025,2,145000,0,2,0,1,0
2024,3,171350,0,2,0,1,0
2024,2,136500,0,2,0,1,0
2024,2,212160,0,2,0,1,0
2024,2,161500,0,2,0,1,0
2024,3,166000,0,2,0,1,0
2024,3,175800,0,2,0,1,0
2024,1,114400,0,2,0,1,0
2025,3,90000,0,2,0,1,0
2024,2,177688,0,2,0,1,0
