work_year,experience_level,salary_in_usd,remote_ratio,company_size,FL,FT,PT
2024,2,230000,0,2,0,1,0
2024,2,137930,0,2,0,1,0
2023,3,71475,100,2,0,1,0
2025,3,250000,100,2,0,1,0
2024,3,110000,100,2,0,1,0
2025,3,135000,100,2,0,1,0
2024,2,139360,100,2,0,1,0
2024,2,145000,0,2,0,1,0
2025,2,138000,0,2,0,1,0
2024,3,329333,0,2,0,1,0
2024,2,175000,0,2,0,1,0
2025,2,130000,0,2,0,1,0
2025,4,150000,0,2,0,1,0
2024,2,135400,0,2,0,1,0
2025,1,69556,100,2,0,1,0
2024,3,180000,0,2,0,1,0
2024,3,200000,0,2,0,1,0
2024,3,87400,0,2,0,1,0
2024,3,183000,0,2,0,1,0
2024,3,155635,0,2,0,1,0
2024,1,100000,0,2,0,0,1
2024,3,178700,0,2,0,1,0
2024,2,128544,0,2,0,1,0
2025,3,120300,0,2,0,1,0
2025,3,108400,0,2,0,1,0
2024,3,159800,0,2,0,1,0
2025,4,157788,0,2,0,1,0
2024,1,85000,0,2,0,1,0
2024,3,112000,0,2,0,1,0
2024,3,81978,100,2,0,1,0
2023,3,130410,0,2,0,1,0
2025,1,140000,0,2,0,1,0
2025,2,160000,0,2,0,1,0
2025,3,175000,100,2,0,1,0
2023,3,136000,0,3,0,1,0
2024,3,67200,0,2,0,1,0
2023,3,240000,100,2,0,1,0
2024,1,137000,0,2,0,1,0
2025,3,126000,0,2,0,1,0
2022,3,129400,100,2,0,1,0
2024,3,120633,0,2,0,1,0
2024,3,198072,0,2,0,1,0
2025,2,175950,0,2,0,1,0
2024,1,80000,0,2,0,1,0
2025,3,500000,0,2,0,1,0
2024,3,212750,0,2,0,1,0
2025,1,56160,100,2,0,1,0
2025,2,350763,0,2,0,1,0
2024,3,165100,0,2,0,1,0
2024,2,168000,0,2,0,1,0
2024,3,209600,0,2,0,1,0
2024,3,210000,0,2,0,1,0
2025,1,155800,0,2,0,1,0
2024,3,110000,100,2,0,1,0
2025,2,140000,100,2,0,1,0
2025,2,150400,0,2,0,1,0
2025,3,165400,0,2,0,1,0
2025,2,130000,100,2,0,1,0
2024,3,93300,0,2,0,1,0
2025,3,234500,100,2,0,1,0
2025,3,84000,0,2,0,1,0
2025,3,150000,0,2,0,1,0
2024,2,125700,0,2,0,1,0
2024,1,75000,100,2,0,1,0
2024,1,72000,0,2,0,1,0
2024,3,750000,0,2,0,1,0
2024,3,190000,100,2,0,1,0
2024,2,85000,100,2,0,1,0
2024,2,161000,0,2,0,1,0
2025,2,43680,0,3,0,1,0
2025,2,107300,0,2,0,1,0
2025,2,83300,100,2,0,1,0
2025,3,110000,0,2,0,1,0
2024,3,106250,0,2,0,1,0
2023,2,58400,0,2,0,1,0
2025,3,247730,0,2,0,1,0
2024,2,129300,0,3,0,1,0
2024,2,93300,0,2,0,1,0
2024,2,41227,0,2,0,1,0
2025,3,130000,0,2,0,1,0
2024,3,277000,0,2,0,1,0
2024,2,50000,0,2,0,1,0
2024,2,98300,0,2,0,1,0
2024,3,156000,0,2,0,1,0
2024,4,90000,0,2,0,1,0
2024,3,108200,0,2,0,1,0
2024,3,208000,0,2,0,1,0
2024,4,160000,0,2,0,1,0
2025,3,166000,0,2,0,1,0
2025,3,147500,100,2,0,1,0
2024,1,96000,0,2,0,1,0
2024,3,142000,0,2,0,1,0
2025,2,195500,0,2,0,1,0
2024,2,137000,0,2,0,1,0
2024,3,143100,0,2,0,1,0
2025,3,154000,0,2,0,1,0
2024,3,266875,0,2,0,1,0
2024,3,120100,0,2,0,1,0
2025,2,96400,0,2,0,1,0
2025,3,165000,0,2,0,1,0
2024,1,82000,100,2,0,1,0
2025,3,82600,0,2,0,1,0
2023,3,129300,0,2,0,1,0
2025,3,276500,0,2,0,1,0
2023,2,127900,0,2,0,1,0
2024,1,135392,0,2,0,0,1
2024,3,130000,0,2,0,1,0
2025,1,36842,0,2,0,1,0
2024,3,120750,0,2,0,1,0
2025,4,385000,0,2,0,1,0
2024,3,219700,0,2,0,1,0
2025,2,94220,0,2,0,1,0
2024,3,108100,0,2,0,1,0
2025,2,41197,0,2,0,1,0
2024,3,224000,0,2,0,1,0
